1123,ESSELUNGA Biella
1086,CARREFOUR  Burolo
1369,CARREFOUR Collegno
1091,CARREFOUR Nichelino
1067,ESSELUNGA Alessandria
1176,ESSELUNGA Castellletto Ticino
1365,ESSELUNGA C.so Traiano Torino
1129,ESSELUNGA Quaregna
1227,ESSELUNGA Valenza
1175,ESSELUNGA Verbania
1284,IPERCOOP Casale Monf.
1368,CARREFOUR Grugliasco
1172,CARREFOUR Vitt. Di Bo Moncalieri
1196,CARREFOUR C.so Savona Moncalieri
1105,CARREFOUR Vercelli
1303,ESSELUNGA Borgomanero
1392,ESSELUNGA Casale Monf.
1324,ESSELUNGA Moncalieri
1372,ESSELUNGA Via Vercelli Novara
1900,GIGANTE Varallo Piomba
1138,IPERCOOP Beinasco
1164,IPERCOOP Borgomanero
1194,IPERCOOP Borgosesia
1285,IPERCOOP Ciriè
1148,IPERCOOP Cuorgnè
1166,IPERCOOP CC S. Mart. Novara
1288,IPERCOOP Pinerolo
1088,CARREFOUR Loc. Abb. Pinerolo
1868,COOP Asti
1287,IPERCOOP Mondovì
1713,COOP Valenza
1384,ESSELUNGA Adriano Milano
1156,ESSELUNGA Masnago
1159,ESSELUNGA Rho
1089,ESSELUNGA Ripamonti Milano
1367,ESSELUNGA Rubattino Milano
1087,ESSELUNGA Washington Milano
1207,ESSELUNGA Buccinasco
1157,ESSELUNGA Castellanza
1222,ESSELUNGA Ambrosoli Como
370,ESSELUNGA Curno
1702,ESSELUNGA Famagosta Milano
1203,ESSELUNGA Feltre Milano
1066,ESSELUNGA Garbagnate Mil.
1161,ESSELUNGA Gessate
1095,ESSELUNGA Lorenteggio Milano
1102,ESSELUNGA Losanna Milano
403,ESSELUNGA Macherio
1229,ESSELUNGA S.Fruttuoso Monza
1364,ESSELUNGA Pantigliate
357,ESSELUNGA P.ta Nuova Milano
1378,ESSELUNGA Saronno
1300,ESSELUNGA Settimo Mil.
1140,ESSELUNGA Solaro
1155,ESSELUNGA Varedo
1069,ESSELUNGA Venegono
1885,GIGANTE Daverio
1389,Carrefour Market Bezzi Milano
2012,CONAD Bovisasca Milano
1597,ESSELUNGA Celadina Bergamo
1528,ESSELUNGA Camerlata Como
1132,ESSELUNGA Lipomo
1390,Carrefour Market Carlazzo
960,ESSELUNGA Vigevano
1158,ESSELUNGA Abbiategrasso
1154,ESSELUNGA Baranzate
1092,ESSELUNGA Cassala Milano
1213,ESSELUNGA Cernusco Lomb.
1160,ESSELUNGA Corsico
1531,ESSELUNGA Cusano Mil.
1073,ESSELUNGA Giussano
1076,ESSELUNGA Induno Olona
1115,ESSELUNGA Jenner Milano
1130,ESSELUNGA Lainate
1215,ESSELUNGA Lecco
1191,ESSELUNGA Sabotino Legnano 
1163,ESSELUNGA Dei Missaglia Milano
1461,ESSELUNGA Libertà Monza
1376,ESSELUNGA Buonarroti Monza
1080,ESSELUNGA Olgiate Olona
1162,ESSELUNGA Ovidio Milano
1225,ESSELUNGA Seregno
2014,GIGANTE Sesto San Giovanni
1333,Carrefour Mark. Cocquio-Trevisago
1901,GIGANTE Cesano Boscone
1894,GIGANTE Castano Primo
1720,GIGANTE Castellanza
1891,GIGANTE Cornaredo
1889,GIGANTE Rozzano
1902,GIGANTE Somma Lomb
1078,IPERCOOP CC Metropoli Novate Mil.
1070,ESSELUNGA Borri  Varese
1279,COOP Torrione L'Aquila
1347,IPERCOOP Avezzano
1371,ESSELUNGA Aprilia
1273,COOP Rieti
1633,ESSELUNGA Pescia
1635,ESSELUNGA Porcari
524,CARREFOUR Massa 
2066,ESSELUNGA Sesto Fiorentino
1627,ESSELUNGA Lido di Camaiore
1636,ESSELUNGA Arancio Lucca
1630,ESSELUNGA Cisanello Pisa
653,CARREFOUR San Giuliano Terme
250,CONAD Gallicano
1628,ESSELUNGA S. Maria Arezzo
1637,ESSELUNGA C. Del Prete Lucca
1987,ESSELUNGA Livorno
1634,ESSELUNGA Marlia Capannori
1914,ESSELUNGA Gentili (Niev.) Montecatini
1690,ESSELUNGA P.ta Nuova Pistoia
1629,ESSELUNGA S.Concordio Lucca
625,PAM Correa Livorno
584,PANORAMA  Pistoia
585,PANORAMA Pontedera
627,PAM Ferrucci Prato
1725,CONAD PISTOIA Adua Pistoia
1631,ESSELUNGA Matteotti Pistoia
631,Arezzo-PAM Calò Arezzo
621,PAM Barber.Val D'Elsa Poggibonsi
632,PAM Fornacette Calcinaia Loc. Fornacette
630,PAM Poggio a Caiano
609,PAM San Miniato
1301,IPERCOOP Collestrada
1441,IPERCOOP Terni
649,CONAD Terni
619,PAM Loc. Olmo Perugia
294,PAM San Marco Perugia
519,EMISFERO Perugia
523,EMI SUPERSTORE Todi
419,IPERCCOOP Mongolf Surbo
424,IPERCOOP Japigia  Bari
423,IPERCOOP S.Caterina Bari
421,IPERCOOP Foggia
685,IPERCOOP Pasteur Bari
254,IPERCOOP Le Colonne Brindisi
422,IPERCOOP Taranto
1562,CONAD  Forlì
1068,ESSELUNGA Piacenza
1806,ESSELUNGA Traverset. Parma
1373,ESSELUNGA Peo Parma
1355,ESSELUNGA La Spezia
1346,AEROPORTO VE. Mediastore Venezia
1358,ESSELUNGA Suzzani Milano
1874,ESSELUNGA Tibaldi Milano
1897,GIGANTE Villasanta
1928,CONAD Carducci Bergamo
1862,CONAD Curno
548,BENNET Como
550,BENNET Cantù
549,BENNET Montano Lucino
0959,ESSELUNGA Solbiate Com.
2060,INTERSPAR. Mariano Com.
1122,IPERCOOP Cantù
546,BENNET Erba
2009,ESSELUNGA  Fino Mornasco
547,BENNET Cassina Rizzardi
540,BENNET Anzano al Parco
545,BENNET Olgiate Com.
1809,Como-COOP Como
1815,IPERAL  Carlazzo
1035,CONAD Arma di Taggia
1056,COOP Negro Genova
2086,ESSELUNGA S.Benigno Genova
104,IPERCOOP Carasco
1533,IPERCOOP Genova
1591,CONAD Santo Stefano Magra
1859,IPERCOOP CC Le Terrazze La Spezia
1975,IPERCOOP Sarzana
764,IPERCOOP  Savona
595,IPERCOOP CC Le Serre Albenga
1039,COOP Cogoleto
1040,COOP  Arenzano
1034,COOP Merano Genova
723,COOP Rivarolo Genova
797,BENNET Pontedassio
724,COOP Sanremo
718,COOP Ventimiglia
1973,CONAD Vallecrosia
1053,CONAD Imperia
249,COOP Amendola La Spezia
674,COOP Saffi La Spezia
716,COOP  Vado Ligure
717,COOP  Finale Ligure
2083,ESSELUNGA Albenga
1955,ESSELUNGA Piave Genova
153,COOP Imperia
2034,ESSELUNGA C.so Bram. Torino
818,BENNET Santa Vittoria D'Alba
2190,COOP Bra
2266,ESSELUNGA Forlì
2271,ESSELUNGA Novedrate
2246,COOP Colle Val D'Elsa
2235,COOP Agliana
2210,COOP Bagno a Ripoli
1264,COOP CC Il Casent. Bibbiena
2211,COOP Centro Mug. Borgo San Lorenzo
2212,COOP Campi Bisenzio
2221,COOP Carlo Del Prete Firenze
2240,COOP CC Dei Borghi Cascina Loc. Navacchio
2213,COOP Castelfiorentino
2214,COOP  Ceretaldo
2216,COOP Firenze
2215,COOP  Empoli
2229,COOPFabbricone Prato
2220,COOP Gavinana Firenze
2223,COOP  Impruneta
2224,COOP  Lamporecchio
2225,IPERCOOP  Lastra a Signa
2222,COOP Leopoldo Firenze
2237,COOP Est Lucca
2236,COOP S.'Anna Lucca
2238,COOP Monsummano Terme
2226,COOP Montelupo Fiorentino
2227,COOP Montemurlo
2239,COOP Monte San Savino
2218,COOP Novoli Firenze
2217,COOP CC le Piagge Firenze
2242,COOP Cisanello Pisa
2241,COOP Porta al Mare Pisa P.ta a Mare
2243,COOP Adua-Macallè  Pistoia
2230,COOP CC Parco Prato  Prato
2244,COOP Poggibonsi
2228,COOP Pontassieve
2209,COOP Bagno a Ripoli
2245,COOP Pontedera
2231,COOP Quarrata
2232,COOP Rignano Sull'Arno
2247,COOP San Giovanni Valdarno
2248,COOP Sansepolcro
2249,COOP Santa Croce Sull'Arno
2251,COOP Cittadini Siena
2250,COOP Grondaie Siena
1266,COOP CC I Gelsi Sinalunga
2253,COOP Torre del Lago Viareggio
2233,COOP Vingone Scandicci
2252,COOP Volterra
2254,COOP VAIANO
2234,COOP Lastra a Signa
2046,ESSELUNGA Gignoro  Firenze
2054,ESSELUNGA Canova  Firenze
2043,ESSELUNGA NOVOLI  Firenze
2069,ESSELUNGA Turigliano Carrara
2057,ESSELUNGA Galilei  Prato
2056,ESSELUNGA Campi Bisenzio
2165,ESSELUNGA Masaccio  Firenze
2053,ESSELUNGA Galliano Firenze
1980,ESSELUNGA Milanesi Firenze
2065,ESSELUNGA Roma  Massa
2052,ESSELUNGA Fiorentina  Prato
